,Observation ID,Camera,Exposure Identifier,Ring Number,Exposure Time,l,b,Target,Target Type
6285,0413390201,MOS1,S001,3,18.0250615489325,340.8133987373604,-2.488464404497538,XTE J1701-462,HMXRB BE STAR BLACK HOLE
6286,0500820801,MOS1,S001,9,10.1630866150439,303.91759833091606,-6.985740343740258,PSR 1259-69,RADIO PULSAR
6287,0501230101,MOS1,S002,11,17.6087637403348,66.85038722040785,25.786794950911503,RXJ1803+4012,CV INTERMEDIATE POLAR COHERENT OSCILLATIONS
6288,0500910101,PN,S001,20,8.345859043791679,124.48862204894264,23.726048240639944,3C 61.1,RADIO GALAXY RADIO LOUD TYPE 2
6289,0415580301,MOS1,S003,24,15.1507560869433,213.70231505475465,13.019516084266085,Procyon-off2,STAR F5
6290,0415580301,MOS2,S004,24,19.288104475220106,213.70231505475465,13.019516084266085,Procyon-off2,STAR F5
6291,0501210701,MOS1,S001,17,21.242285148829893,249.16283424727615,-47.78195913893588,APMUKS(BJ) B040410.3,AGN UNCLASSIFIED
6292,0413390101,MOS1,S001,3,14.9641226563125,340.8133987373604,-2.488464404497538,XTE J1701-462,HMXRB BE STAR BLACK HOLE
6293,0502040601,MOS1,S001,11,7.02585588031484,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6294,0502640201,MOS1,S001,26,20.7465085170958,166.006356345176,13.799804701032262,SS Aur,CV DWARF NOVA U GEM TYPE
6295,0502640201,MOS2,S002,26,19.2153895958089,166.006356345176,13.799804701032262,SS Aur,CV DWARF NOVA U GEM TYPE
6296,0502271401,MOS1,S001,22,31.9110848826931,143.98115516307513,28.01753455306697,S5 0716+714,BL LAC RADIO LOUD FLAT RADIO SP
6297,0502040801,MOS1,S001,11,4.41102581655279,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6298,0502040801,MOS2,S002,11,4.475213723037821,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6299,0500860901,MOS1,S001,13,9.372248011582267,278.56387451656843,-31.305892320124673,CAL 83,SUPERSOFT SOURCE
6300,0500860901,MOS2,S002,13,9.372437963753649,278.56387451656843,-31.305892320124673,CAL 83,SUPERSOFT SOURCE
6301,0502090201,MOS1,U002,7,94.5600455423523,326.22846493899726,32.21825915393516,ESO511-G030,SEYFERT RADIO QUIET TYPE 1
6302,0502040901,MOS1,S001,11,6.756510069357638,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6303,0502040901,MOS2,S002,11,6.8384788752207495,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6304,0501930401,MOS1,S001,19,15.9489517474498,239.1448624694904,30.647713764681267,HD 81809,STAR G2III
6305,0502041001,MOS1,S001,11,8.250620458147079,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6306,0503560201,MOS1,S001,23,52.70280530665279,212.19528282491925,-19.100878027712483,Orion A2,STAR FORMING REGION
6307,0412600201,MOS1,S001,2,23.5881360928452,358.5990914301072,-17.214495854518443,RXJ1856.6-3754,ISOLATED NEUTRON STAR
6308,0412980701,MOS1,S002,11,26.1680048202228,301.55760765656964,-45.06380875880771,1ES0102-72,SNR
6309,0415180101,MOS1,S002,2,19.583046209767602,358.57407299882834,-17.226620337883613,RXJ1856.6-3754,ISOLATED NEUTRON STAR
6310,0415180101,MOS2,S003,2,19.9992147293517,358.57407299882834,-17.226620337883613,RXJ1856.6-3754,ISOLATED NEUTRON STAR
6311,0502041101,MOS1,S001,11,10.660990382411999,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6312,0502041101,MOS2,S002,11,10.763273393047099,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6313,0503230101,MOS1,S001,8,15.946360395134699,314.5147354775727,31.78056777942253,M83,SPIRAL GALAXY
6314,0503230101,PN,S003,8,9.447475234184461,314.5147354775727,31.78056777942253,M83,SPIRAL GALAXY
6315,0502041201,MOS1,S001,11,8.70468646556164,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6316,0502041201,MOS2,S002,11,8.819716021507887,62.655077330941104,-33.1389399658611,RX J2143.0+0654,ISOLATED NEUTRON STAR
6317,0502060901,MOS1,S001,25,21.561585385826803,185.4533937891193,28.399872825836816,SDSSJ075920.21+35190,QSO RADIO QUIET TYPE 2
6318,0502060901,MOS2,S002,25,21.9413752986125,185.4533937891193,28.399872825836816,SDSSJ075920.21+35190,QSO RADIO QUIET TYPE 2
6319,0502091001,MOS1,S001,24,61.5882570855781,168.60251263261003,28.38211894760489,UGC3973,SEYFERT RADIO QUIET TYPE 1
6320,0502091001,MOS2,S002,24,62.0338363662007,168.60251263261003,28.38211894760489,UGC3973,SEYFERT RADIO QUIET TYPE 1
6321,0412980801,MOS1,S002,11,9.367943991302887,301.55760765656964,-45.06380875880771,1ES0102-72,SNR
6322,0412580401,MOS1,S001,14,9.33050280127744,275.3007155426664,-33.045611257291284,AB Dor,STAR K0V
6323,0412600101,MOS1,S001,2,65.2493832086007,358.5990914301072,-17.214495854518443,RXJ1856.6-3754,ISOLATED NEUTRON STAR
6324,0412600101,MOS2,S002,2,65.60391755727821,358.5990914301072,-17.214495854518443,RXJ1856.6-3754,ISOLATED NEUTRON STAR
6325,0502060301,MOS1,S001,9,8.18524486389598,347.26330516243246,53.19030671215743,SDSSJ143027.66-00561,QSO RADIO QUIET TYPE 2
6326,0502211401,MOS1,S001,16,9.292133938165653,201.73377657223324,83.28822507104827,W Comae,BL LAC RADIO LOUD/FLAT SPECT FLAT RADIO SP
6327,0502211401,MOS2,S002,16,8.88063940298144,201.73377657223324,83.28822507104827,W Comae,BL LAC RADIO LOUD/FLAT SPECT FLAT RADIO SP
6328,0502211101,MOS1,S001,16,7.19222261205744,201.73377657223324,83.28822507104827,W Comae,BL LAC RADIO LOUD/FLAT SPECT FLAT RADIO SP
6329,0502211201,MOS1,S001,16,6.068981410348419,201.73377657223324,83.28822507104827,W Comae,BL LAC RADIO LOUD/FLAT SPECT FLAT RADIO SP
6330,0502211201,MOS2,S002,16,6.4409426199752,201.73377657223324,83.28822507104827,W Comae,BL LAC RADIO LOUD/FLAT SPECT FLAT RADIO SP
6331,0502160101,MOS1,S001,13,67.1369061389095,295.8682273692652,74.31748805812784,NGC4649,ELLIPTICAL GALAXY RADIO LOUD STEEP RADIO SP
6332,0414190601,MOS1,S001,13,30.367396672700302,289.95106834763743,64.35999164648202,3C 273,SEYFERT
6333,0412980901,MOS1,S002,11,27.327454096771397,301.55760765656964,-45.06380875880771,1ES0102-72,SNR
6334,0412600401,MOS1,U002,2,31.81826540999409,358.5990914301072,-17.214495854518443,RXJ1856.6-3754,ISOLATED NEUTRON STAR
6335,0412600401,MOS2,U002,2,33.857648483332696,358.5990914301072,-17.214495854518443,RXJ1856.6-3754,ISOLATED NEUTRON STAR
6336,0500860201,MOS1,S001,13,10.7717593170053,278.56387451656843,-31.305892320124673,CAL 83,SUPERSOFT SOURCE
