,Observation ID,Camera,Exposure Identifier,Exposure Time,l,b,Target,Target Type
5375,0146510301,MOS2,S002,22.0107286639137,262.76410513151984,40.40513263705007,NGC3411 Group,GROUP OF GALAXIES
5376,0146510301,PN,S003,18.101793570711003,262.76410513151984,40.40513263705007,NGC3411 Group,GROUP OF GALAXIES
5377,0136020601,MOS1,S008,8.99429036433467,78.19457320574243,2.1023766278492717,Gamma Cygni,SNR SHELL TYPE II
5378,0136020601,MOS2,S009,8.816379998674531,78.19457320574243,2.1023766278492717,Gamma Cygni,SNR SHELL TYPE II
5379,0136020601,PN,S007,7.613072867951431,78.19457320574243,2.1023766278492717,Gamma Cygni,SNR SHELL TYPE II
5380,0145800101,MOS1,U003,40.0404329365999,285.27448147984404,73.16691080780656,LBQS 1228+1116,QSO
5381,0145800101,MOS2,U002,6.84852622708784,285.27448147984404,73.16691080780656,LBQS 1228+1116,QSO
5382,0145800101,MOS2,U003,40.378702616866,285.27448147984404,73.16691080780656,LBQS 1228+1116,QSO
5383,0145800101,PN,U002,33.0745519715114,285.27448147984404,73.16691080780656,LBQS 1228+1116,QSO
5384,0145800101,PN,S003,3.10308139336986,285.27448147984404,73.16691080780656,LBQS 1228+1116,QSO
5385,0147210201,MOS1,S002,0.829440496301968,31.587880968686065,44.52145778198543,Abell 2151,CLUSTER OF GALAXIES ABELL CLASS 2
5386,0147210201,MOS2,S003,1.59519112699688,31.587880968686065,44.52145778198543,Abell 2151,CLUSTER OF GALAXIES ABELL CLASS 2
5387,0147580101,MOS1,S001,4.6606001101371,37.72667122253576,79.29486407193764,1AXGJ133937+2730,AGN UNCLASSIFIED
5388,0147580101,MOS2,S002,5.14270056913934,37.72667122253576,79.29486407193764,1AXGJ133937+2730,AGN UNCLASSIFIED
5389,0147580101,PN,S003,2.58924102615378,37.72667122253576,79.29486407193764,1AXGJ133937+2730,AGN UNCLASSIFIED
5390,0148500201,MOS1,S001,11.2446402099787,167.75523188975959,-57.98258330337178,Mira,SYMBIOTIC STAR
5391,0148500201,MOS2,S002,11.1284786298857,167.75523188975959,-57.98258330337178,Mira,SYMBIOTIC STAR
5392,0148500201,PN,S003,8.68308762802681,167.75523188975959,-57.98258330337178,Mira,SYMBIOTIC STAR
5393,0148090101,MOS1,S002,6.25651391466862,3.3455136579041107,-0.33698571148598044,V4643 Sgr,CV CLASSICAL NOVA
